GDP	LE
13341.2	72.1
13627	71.9
14496.1	78.6
15883.3	77.4
17607.5	75.8
19013.4	76
19997.1	74.8
23189.2	76.9
24789.6	75.1
29181.4	72.9
30140.8	78.5
30722.2	82.2
32191	75.3
32297.3	76.1
34066.9	77.5
34431.2	78.7
34507.1	76.9
36639.3	82.1
38501.8	75.9
38915.2	78.8
40983.4	81.3
41254.4	81
42195.2	83.5
43299.6	79.4
44248.2	83.4
46279.1	82.5
48698.1	81.3
49435.2	82.7
51426	81.9
54904.7	81.6
55819.9	82.8
56278.2	81.3
58946.4	81.5
59554.2	82.3
60061.4	83
60178.5	80.9
66831.9	82.4
70989.3	83.8
88240.9	82.3
